rank,full_journal_title,total_cites,journal_impact_factor,eigenfactor_score,journal_IF,full_title
72,Cell Metabolism,"52,192",27.287,0.091000,27.287,Cell Metabolism
73,Lancet Psychiatry,"14,839",27.083,0.036240,27.083,Lancet Psychiatry
73,Lancet Psychiatry,"14,839",27.083,0.036240,27.083,Lancet Psychiatry
75,Lancet Global Health,"16,662",26.763,0.051650,26.763,Lancet Global Health
75,Lancet Global Health,"16,662",26.763,0.051650,26.763,Lancet Global Health
77,Annual Review of Plant Biology,"24,641",26.379,0.013080,26.379,Annual Review of Plant Biology
78,CLINICAL MICROBIOLOGY REVIEWS,"25,627",26.132,0.017210,26.132,Clinical Microbiology Reviews
79,Journal of Extracellular Vesicles,"8,485",25.841,0.011820,25.841,Journal of Extracellular Vesicles
80,Nature Biomedical Engineering,"6,476",25.671,0.020080,25.671,Nature Biomedical Engineering
81,CELL RESEARCH,"24,108",25.617,0.034400,25.617,Cell Research
82,NATURE IMMUNOLOGY,"54,588",25.606,0.080490,25.606,Nature Immunology
83,"PHYSICS REPORTS-REVIEW SECTION OFPHYSICS LETTERS","32,130",25.600,0.024780,25.6,Physics Reports Review Section of Physics Letters
84,PHARMACOLOGICAL REVIEWS,"14,442",25.468,0.009140,25.468,Pharmacological Reviews
85,InfoMat,"1,460",25.405,0.001930,25.405,Info Mat
86,ANNALS OF INTERNAL MEDICINE,"72,588",25.391,0.082030,25.391,Annals of Internal Medicine
87,ADVANCES IN PHYSICS,"6,300",25.375,0.003340,25.375,Advances in Physics
88,ASTRONOMY AND ASTROPHYSICS REVIEW,"2,048",25.357,0.003280,25.357,Astronomy and Astrophysics Review
89,Nature Climate Change,"36,321",25.290,0.079660,25.29,Nature Climate Change
89,Nature Climate Change,"36,321",25.290,0.079660,25.29,Nature Climate Change
91,IEEE Communications Surveys and Tutorials,"22,146",25.249,0.036840,25.249,Ieee Communications Surveys and Tutorials
92,"Wiley Interdisciplinary Reviews-ComputationalMolecular Science","7,883",25.113,0.007920,25.113,Wiley Interdisciplinary Reviews Computational Molecular Science
93,JOURNAL OF HEPATOLOGY,"52,238",25.083,0.078790,25.083,Journal of Hepatology
94,LANCET INFECTIOUS DISEASES,"42,483",25.071,0.070070,25.071,Lancet Infectious Diseases
95,NATURE NEUROSCIENCE,"73,709",24.884,0.128020,24.884,Nature Neuroscience
96,Cell Stem Cell,"32,147",24.633,0.062780,24.633,Cell Stem Cell
97,Lancet Digital Health,"1,260",24.519,0.003000,24.519,Lancet Digital Health
98,Nature Chemistry,"41,139",24.427,0.069420,24.427,Nature Chemistry
99,Annual Review of Psychology,"28,065",24.137,0.018970,24.137,Annual Review of Psychology
99,Annual Review of Psychology,"28,065",24.137,0.018970,24.137,Annual Review of Psychology
101,"JOURNAL OF THE AMERICAN COLLEGE OFCARDIOLOGY","125,873",24.094,0.177000,24.094,Journal of the American College of Cardiology
102,Trends in Chemistry,"1,919",24.081,0.004690,24.081,Trends in Chemistry
103,Science Robotics,"4,176",23.748,0.011770,23.748,Science Robotics
104,Annual Review of Biochemistry,"24,394",23.643,0.021450,23.643,Annual Review of Biochemistry
105,Annual Review of Pathology-Mechanisms of Disease,"6,874",23.472,0.007930,23.472,Annual Review of Pathology Mechanisms of Disease
106,ACS Energy Letters,"30,194",23.101,0.072680,23.101,Acs Energy Letters
107,GUT,"58,318",23.059,0.072260,23.059,Gut
108,Chem,"12,491",22.804,0.033350,22.804,Chem
109,GASTROENTEROLOGY,"94,870",22.682,0.106750,22.682,Gastroenterology
110,ACCOUNTS OF CHEMICAL RESEARCH,"82,124",22.384,0.097870,22.384,Accounts of Chemical Research
111,COORDINATION CHEMISTRY REVIEWS,"43,025",22.315,0.040260,22.315,Coordination Chemistry Reviews
112,BLOOD,"200,027",22.113,0.187250,22.113,Blood
113,REVIEWS OF GEOPHYSICS,"14,864",22.000,0.012760,22,Reviews of Geophysics
114,Annual Review of Public Health,"9,927",21.981,0.013560,21.981,Annual Review of Public Health
114,Annual Review of Public Health,"9,927",21.981,0.013560,21.981,Annual Review of Public Health
116,JAMA Internal Medicine,"25,002",21.873,0.077060,21.873,Jama Internal Medicine
117,Lancet Public Health,"5,793",21.648,0.014840,21.648,Lancet Public Health
117,Lancet Public Health,"5,793",21.648,0.014840,21.648,Lancet Public Health
119,JAMA Psychiatry,"19,105",21.596,0.052990,21.596,Jama Psychiatry
119,JAMA Psychiatry,"19,105",21.596,0.052990,21.596,Jama Psychiatry
121,Alzheimers & Dementia,"21,824",21.566,0.045940,21.566,Alzheimers Dementia
122,"AMERICAN JOURNAL OF RESPIRATORY ANDCRITICAL CARE MEDICINE","76,608",21.405,0.086310,21.405,American Journal of Respiratory and Critical Care Medicine
123,PROGRESS IN RETINAL AND EYE RESEARCH,"9,869",21.198,0.012360,21.198,Progress in Retinal and Eye Research
124,Cell Host & Microbe,"28,716",21.023,0.062110,21.023,Cell Host Microbe
125,TRENDS IN CELL BIOLOGY,"19,007",20.808,0.030120,20.808,Trends in Cell Biology
126,Nano Today,"10,434",20.722,0.011020,20.722,Nano Today
127,International Review of Sport and Exercise Psychology,"1,692",20.652,0.001830,20.652,International Review of Sport and Exercise Psychology
128,Nature Reviews Rheumatology,"12,069",20.543,0.018620,20.543,Nature Reviews Rheumatology
129,FUNGAL DIVERSITY,"5,535",20.372,0.005150,20.372,Fungal Diversity
130,TRENDS IN COGNITIVE SCIENCES,"33,482",20.229,0.036270,20.229,Trends in Cognitive Sciences
130,TRENDS IN COGNITIVE SCIENCES,"33,482",20.229,0.036270,20.229,Trends in Cognitive Sciences
132,"CATALYSIS REVIEWS-SCIENCE ANDENGINEERING","4,133",20.217,0.001440,20.217,Catalysis Reviews Science and Engineering
133,Advances in Optics and Photonics,"3,117",20.107,0.005050,20.107,Advances in Optics and Photonics
134,EUROPEAN UROLOGY,"42,109",20.096,0.062260,20.096,European Urology
135,Nature Physics,"44,499",20.034,0.092770,20.034,Nature Physics
136,ENDOCRINE REVIEWS,"17,082",19.871,0.011820,19.871,Endocrine Reviews
137,Annual Review of Entomology,"16,059",19.686,0.007640,19.686,Annual Review of Entomology
138,INTERNATIONAL MATERIALS REVIEWS,"7,219",19.559,0.004410,19.559,International Materials Reviews
139,TRENDS IN BIOTECHNOLOGY,"20,693",19.536,0.018170,19.536,Trends in Biotechnology
140,APPLIED CATALYSIS B-ENVIRONMENTAL,"123,618",19.503,0.127070,19.503,Applied Catalysis b Environmental
141,Nature Sustainability,"4,664",19.346,0.013370,19.346,Nature Sustainability
141,Nature Sustainability,"4,664",19.346,0.013370,19.346,Nature Sustainability
143,Annual Review of Physiology,"11,515",19.318,0.009940,19.318,Annual Review of Physiology
144,Lancet Planetary Health,"2,540",19.173,0.008590,19.173,Lancet Planetary Health
144,Lancet Planetary Health,"2,540",19.173,0.008590,19.173,Lancet Planetary Health
146,Applied Physics Reviews,"5,353",19.162,0.011230,19.162,Applied Physics Reviews
147,DIABETES CARE,"85,997",19.112,0.084100,19.112,Diabetes Care
148,ANNALS OF THE RHEUMATIC DISEASES,"58,006",19.103,0.064430,19.103,Annals of the Rheumatic Diseases
149,Lancet Haematology,"5,140",18.959,0.015020,18.959,Lancet Haematology
150,ADVANCED FUNCTIONAL MATERIALS,"151,020",18.808,0.206450,18.808,Advanced Functional Materials
151,Annual Review of Clinical Psychology,"8,484",18.561,0.008950,18.561,Annual Review of Clinical Psychology
151,Annual Review of Clinical Psychology,"8,484",18.561,0.008950,18.561,Annual Review of Clinical Psychology
153,Annual Review of Fluid Mechanics,"14,688",18.511,0.008950,18.511,Annual Review of Fluid Mechanics
154,DRUG RESISTANCE UPDATES,"4,315",18.500,0.004180,18.5,Drug Resistance Updates
155,Lancet Gastroenterology & Hepatology,"7,075",18.486,0.018750,18.486,Lancet Gastroenterology Hepatology
156,"PERSONALITY AND SOCIAL PSYCHOLOGYREVIEW","9,303",18.464,0.006680,18.464,Personality and Social Psychology Review
157,"Annual Review of Organizational Psychology andOrganizational Behavior","2,947",18.333,0.008040,18.333,Annual Review of Organizational Psychology and Organizational Behavior
158,TRENDS IN PLANT SCIENCE,"29,531",18.313,0.022770,18.313,Trends in Plant Science
159,JAMA Neurology,"17,086",18.302,0.043360,18.302,Jama Neurology
160,Signal Transduction and Targeted Therapy,"3,848",18.187,0.005730,18.187,Signal Transduction and Targeted Therapy
161,AMERICAN JOURNAL OF PSYCHIATRY,"48,206",18.112,0.031970,18.112,American Journal of Psychiatry
161,AMERICAN JOURNAL OF PSYCHIATRY,"48,206",18.112,0.031970,18.112,American Journal of Psychiatry
163,MOLECULAR CELL,"86,299",17.970,0.161840,17.97,Molecular Cell
164,Science Translational Medicine,"45,509",17.956,0.103780,17.956,Science Translational Medicine
165,Nano Energy,"74,385",17.881,0.124640,17.881,Nano Energy
166,Energy Storage Materials,"17,077",17.789,0.028130,17.789,Energy Storage Materials
167,Light-Science & Applications,"11,228",17.782,0.025780,17.782,Light Science Applications
168,Nature Microbiology,"15,714",17.745,0.056250,17.745,Nature Microbiology
169,PSYCHOLOGICAL BULLETIN,"66,720",17.737,0.023450,17.737,Psychological Bulletin
169,PSYCHOLOGICAL BULLETIN,"66,720",17.737,0.023450,17.737,Psychological Bulletin
171,Science Immunology,"5,232",17.727,0.022200,17.727,Science Immunology
172,TRENDS IN ECOLOGY & EVOLUTION,"44,127",17.712,0.028180,17.712,Trends in Ecology Evolution
173,PSYCHOTHERAPY AND PSYCHOSOMATICS,"6,123",17.659,0.006750,17.659,Psychotherapy and Psychosomatics
173,PSYCHOTHERAPY AND PSYCHOSOMATICS,"6,123",17.659,0.006750,17.659,Psychotherapy and Psychosomatics
175,"MMWR-MORBIDITY AND MORTALITYWEEKLY REPORT","31,127",17.586,0.078080,17.586,Mmwr Morbidity and Mortality Weekly Report
