Journal Name,Journal Type,Journal Abbreviation,ISSN,eISSN,Journal Website,Publisher Name,Imprint Name,Included in CAUL OA agreement?,Included in CAUL discount scheme?,Notes,Last Updated
Philosophical Transactions A,Hybrid,Trans A,1364-503X,1471-2962,https://royalsocietypublishing.org/journal/rsta,Royal Society,,Yes,,,2024-01-24
Philosophical Transactions B,Hybrid,Trans B,0962-8436,1471-2970,https://royalsocietypublishing.org/journal/rstb,Royal Society,,Yes,,,2024-01-24
Proceedings A,Hybrid,Proc A,,1471-2946,https://royalsocietypublishing.org/journal/rspa,Royal Society,,Yes,,,2024-01-24
Proceedings B,Hybrid,Proc B,,1471-2970,https://royalsocietypublishing.org/journal/rstb,Royal Society,,Yes,,,2024-01-24
Biology Letters,Hybrid,Bio Letters,,1744-957X,https://royalsocietypublishing.org/journal/rsbl,Royal Society,,Yes,,,2024-01-24
Interface,Hybrid,,,1742-5662,https://royalsocietypublishing.org/journal/rsif,Royal Society,,Yes,,,2024-01-24
Interface Focus,Hybrid,,,2042-8901,https://royalsocietypublishing.org/journal/rsfs,Royal Society,,Yes,,,2024-01-24
Notes & Records,Hybrid,,,1743-0178,https://royalsocietypublishing.org/journal/rsnr,Royal Society,,Yes,,,2024-01-24
Open Biology,Full Open Access,RSOB,,2046-2441,https://royalsocietypublishing.org/journal/rsob,Royal Society,,Yes,,,2024-01-24
Royal Society Open Science,Full Open Access,RSOS,,2054-5703,https://royalsocietypublishing.org/journal/rsos,Royal Society,,Yes,,,2024-01-24
Applied Mechanics Reviews,,AMREAD,0003-6900,0003-6900,https://asmedigitalcollection.asme.org/appliedmechanicsreviews,ASME,,Yes,,Backfile volumes 38-53 (years 1985-2000) were released January 2010,2024-01-24
Journal of Applied Mechanics,,JAMCAV,0021-8936,1528-9036,https://asmedigitalcollection.asme.org/appliedmechanics,ASME,,Yes,,Backfile volumes 38-53 (years 1980-1989) were released January 2010,2024-01-24
Journal of Biomechanical Engineering,,JBENDY,0148-0731,1528-8951,https://asmedigitalcollection.asme.org/biomechanical,ASME,,Yes,,Backfile volumes 102-111 (years 1980-1989) were released January 2010,2024-01-24
Journal of Computing and Information Science in Engineering,,JCISB6,1530-9827,1530-9827,https://asmedigitalcollection.asme.org/computingengineering,ASME,,Yes,,,2024-01-24
Journal of Computational and Nonlinear Dynamics,,JCNDDM,1555-1415,1555-1423,https://asmedigitalcollection.asme.org/computationalnonlinear,ASME,,Yes,,,2024-01-24
"Journal of Dynamic Systems, Measurement, and Control",,JDSMAA,1528-9028,0022-0434,https://asmedigitalcollection.asme.org/dynamicsystems,ASME,,Yes,,Backfile volumes 102-111 (years 1980-1989) were released January 2010,2024-01-24
Journal of Engineering Materials and Technology,,JEMTA8,0094-4289,1528-8889,https://asmedigitalcollection.asme.org/materialstechnology,ASME,,Yes,,Backfile volume 102-111 (years 1980-1989) were released January 2010,2024-01-24
Journal of Electronic Packaging,,JEPAE4,1528-9044,1043-7398,https://asmedigitalcollection.asme.org/electronicpackaging,ASME,,Yes,,Backfile volume 111-(year 1989) was released January 2010,2024-01-24
Journal of Energy Resources Technology,,JERTD2,0195-0738,1528-8994,https://asmedigitalcollection.asme.org/energyresources,ASME,,Yes,,Backfile volumes 102-111 (years 1980-1989) were released January 2010,2024-01-24
Journal of Engineering for Gas Turbines and Power,,JETPEZ,1528-8919,0742-4795,https://asmedigitalcollection.asme.org/gasturbinespower,ASME,,Yes,,"Backfile volumes 106-111 (years 1984-1989) were released January 2010
Formally JEPOA8",2024-01-24
Journal of Electrochemical Energy Conversion and Storage….Formerly the Journal of Fuel Cell Science and Technology,,JEECAJ,2381-6872,2381-6910,https://asmedigitalcollection.asme.org/electrochemical,ASME,,Yes,,Formally JFCSAU,2024-01-24
Journal of Fluids Engineering,,JFEGA4,0098-2202,1528-901X,https://asmedigitalcollection.asme.org/fluidsengineering,ASME,,Yes,,Backfile volume 102-111 (years 1980-1989) were released January 2010,2024-01-24
Journal of Heat Transfer,,JHTRAO,0022-1481,1528-8943,https://asmedigitalcollection.asme.org/heattransfer,ASME,,Yes,,Backfile volume 102-111 (years 1980-1989) were released January 2010,2024-01-24
Journal of Mechanical Design,,JMDEEC,1050-0472,1528-9001,https://asmedigitalcollection.asme.org/mechanicaldesign,ASME,,Yes,,Backfile volume 102-104 (years 1980-1982) were released January 2010,2024-01-24
Journal of Medical Devices,,JMDOA4,1932-6181,1932-619X,https://asmedigitalcollection.asme.org/medicaldevices,ASME,,Yes,,,2024-01-24
Journal of Offshore Mechanics and Arctic Engineering,,JMOEEX,0892-7219,1528-896X,https://asmedigitalcollection.asme.org/offshoremechanics,ASME,,Yes,,Backfile volume 102-111 (years 1980-1989) were released January 2010,2024-01-24
Journal of Mechanisms and Robotics,,JMROA6,1942-4302,1942-4310,https://asmedigitalcollection.asme.org/mechanismsrobotics,ASME,,Yes,,"Launched online August 1, 2008",2024-01-24
Journal of Manufacturing Science and Engineering,,JMSEFK,1087-1357,1528-8935,https://asmedigitalcollection.asme.org/manufacturingscience,ASME,,Yes,,Formally JEFIA8,2024-01-24
Journal of Tribology,,JOTRE9,0742-4787,1528-8897,https://asmedigitalcollection.asme.org/tribology,ASME,,Yes,,"Backfile volume 106-111 (years 1984-1989) were released January 2010
Formaly JLUTAT",2024-01-24
Journal of Turbomachinery,,JOTUEI,0889-504X,1528-8900,https://asmedigitalcollection.asme.org/turbomachinery,ASME,,Yes,,Backfile volume 108-111 (years 1986-1989) were released January 2010,2024-01-24
Journal of Pressure Vessel Technology,,JPVTAS,0094-9930,1528-8978,https://asmedigitalcollection.asme.org/pressurevesseltech,ASME,,Yes,,Backfile volume 102-111 (years 1980-1989) were released January 2010,2024-01-24
Journal of Solar Energy Engineering,,JSEEDO,1528-8986,0199-6231,https://asmedigitalcollection.asme.org/solarenergyengineering,ASME,,Yes,,Backfile volume 102-111 (years 1980-1989) were released January 2010,2024-01-24
Journal of Thermal Science and Engineering Applications,,JTSEBV,1948-5085,1948-5093,https://asmedigitalcollection.asme.org/thermalscienceapplication,ASME,,Yes,,,2024-01-24
Journal of Vibration and Acoustics,,JVACEK,1048-9002,1528-8927,https://asmedigitalcollection.asme.org/vibrationacoustics,ASME,,Yes,,Formally JVADDM,2024-01-24
Journal of Micro and Nano-Manufacturing,,AJMNBT,2166-0468,2166-0476,https://asmedigitalcollection.asme.org/micronanomanufacturing,ASME,,Yes,,,2024-01-24
"ASCE-ASME Journal of Risk and Uncertainty in Engineering Systems, Part B: Mechanical Engineering
 ",,AJRUB7,2332-9025,2332-9017,https://asmedigitalcollection.asme.org/risk,ASME,,Yes,,,2024-01-24
Journal of Nuclear Engineering and Radiation Science,,AJNEB7,2332-8963,2332-8975,https://asmedigitalcollection.asme.org/nuclearengineering,ASME,,Yes,,,2024-01-24
"Journal of Verification, Validation and Uncertainty Quantification",,JVVUA5,2377-2158,2377-2166,https://asmedigitalcollection.asme.org/verification,ASME,,Yes,,,2024-01-24
Journal of Engineering and Science in Medical Diagnostics and Therapy,,AJESHA,2572-7958,2572-7966,https://asmedigitalcollection.asme.org/medicaldiagnostics,ASME,,Yes,,,2024-01-24
"Journal of Nondestructive Evaluation, Diagnostics and Prognostics of Engineering Systems",,JNEDAH,2572-3901,2572-3898,https://asmedigitalcollection.asme.org/nondestructive,ASME,,Yes,,,2024-01-24
Journal of Engineering for Sustainable Buildings and Citites,,JESBC,2642-6641,2642-6625,https://asmedigitalcollection.asme.org/sustainablebuildings,ASME,,Yes,,,2024-01-24
Journal of Autonomous Vehichles and Systems,,JAV,2690-702X,2690-7038,https://asmedigitalcollection.asme.org/autonomousvehicles,ASME,,Yes,,,2024-01-24
ASME Letters in Dynamic Systems and Control,,ALDSC,2689-6117,2689-6125,https://asmedigitalcollection.asme.org/lettersdynsys,ASME,,Yes,,,2024-01-24
ASME Open Journal of Engineering,,AOJE,,2770-3495,https://asmedigitalcollection.asme.org/openengineering,ASME,,Yes,,,2024-01-24
AILA Review,,aila,1461-0213,1570-5595,,John Benjamins,,Yes,,,2024-01-24
Asian Languages and Linguistics,,alal,2665-9336,2665-9344,,John Benjamins,,Yes,,,2024-01-24
Applied Pragmatics,,ap,2589-109X,2589-1103,,John Benjamins,,Yes,,,2024-01-24
Asia-Pacific Language Variation,,aplv,2215-1354,2215-1362,,John Benjamins,,Yes,,,2024-01-24
Australian Review of Applied Linguistics,,aral,0155-0640,1833-7139,,John Benjamins,,Yes,,,2024-01-24
Arabic Linguistics,,arli,2950-1806,2950-1792,,John Benjamins,,Yes,,,2024-01-24
Babel,,babel,0521-9744,1569-9668,,John Benjamins,,Yes,,,2024-01-24
Bochumer Philosophisches Jahrbuch für Antike und Mittelalter,,bpjam,1384-6663,1569-9684,,John Benjamins,,Yes,,,2024-01-24
Constructions and Frames,,cf,1876-1933,1876-1941,,John Benjamins,,Yes,,,2024-01-24
Chinese Language and Discourse,,cld,1877-7031,1877-8798,,John Benjamins,,Yes,,,2024-01-24
Cognitive Linguistic Studies,,cogls,2213-8722,2213-8730,,John Benjamins,,Yes,,,2024-01-24
Concentric,,consl,1810-7478,2589-5230,,John Benjamins,,Yes,,,2024-01-24
Chinese as a Second Language (xxxxxx—xxxxxxxxxx),,csl,2451-828X,2451-8298,,John Benjamins,,Yes,,,2024-01-24
Diachronica,,dia,0176-4225,1569-9714,,John Benjamins,,Yes,,,2024-01-24
Digital Translation,,dt,2949-6861,2949-6845,,John Benjamins,,Yes,,,2024-01-24
Evolutionary Linguistic Theory,,elt,2589-1588,2589-1596,,John Benjamins,,Yes,,,2024-01-24
English Text Construction,,etc,1874-8767,1874-8775,,John Benjamins,,Yes,,,2024-01-24
English World-Wide,,eww,0172-8865,1569-9730,,John Benjamins,,Yes,,,2024-01-24
Functions of Language,,fol,0929-998X,1569-9765,,John Benjamins,,Yes,,,2024-01-24
FORUM,,forum,1598-7647,2451-909X,,John Benjamins,,Yes,,,2024-01-24
Gesture,,gest,1568-1475,1569-9773,,John Benjamins,,Yes,,,2024-01-24
Historiographia Linguistica,,hl,0302-5160,1569-9781,,John Benjamins,,Yes,,,2024-01-24
Information Design Journal,,idj,0142-5471,1569-979X,,John Benjamins,,Yes,,,2024-01-24
International Journal of Chinese Linguistics,,ijchl,2213-8706,2213-8714,,John Benjamins,,Yes,,,2024-01-24
International Journal of Corpus Linguistics,,ijcl,1384-6655,1569-9811,,John Benjamins,,Yes,,,2024-01-24
International Journal of Learner Corpus Research,,ijlcr,2215-1478,2215-1486,,John Benjamins,,Yes,,,2024-01-24
International Journal of Language and Culture,,ijolc,2214-3157,2214-3165,,John Benjamins,,Yes,,,2024-01-24
Interpreting,,intp,1384-6647,1569-982X,,John Benjamins,,Yes,,,2024-01-24
Interactional Linguistics,,il,2666-4224,2666-4232,,John Benjamins,,Yes,,,2024-01-24
Internet Pragmatics,,ip,2542-3851,2542-386X,,John Benjamins,,Yes,,,2024-01-24
Interaction Studies,,is,1572-0373,1572-0381,,John Benjamins,,Yes,,,2024-01-24
ITL - International Journal of Applied Linguistics,,itl,0019-0829,1783-1490,,John Benjamins,,Yes,,,2024-01-24
Journal of Argumentation in Context,,jaic,2211-4742,2211-4750,,John Benjamins,,Yes,,,2024-01-24
Journal of Asian Pacific Communication,,japc,0957-6851,1569-9838,,John Benjamins,,Yes,,,2024-01-24
Journal of English-Medium Instruction,,jemi,2666-8882,2666-8890,,John Benjamins,,Yes,,,2024-01-24
Journal of English for Research Publication Purposes,,jerpp,2590-0994,2590-1001,,John Benjamins,,Yes,,,2024-01-24
Journal of Historical Linguistics,,jhl,2210-2116,2210-2124,,John Benjamins,,Yes,,,2024-01-24
Journal of Historical Pragmatics,,jhp,1566-5852,1569-9854,,John Benjamins,,Yes,,,2024-01-24
Journal of Immersion and Content-Based Language Education,,jicb,2212-8433,2212-8441,,John Benjamins,,Yes,,,2024-01-24
Journal of Language Aggression and Conflict,,jlac,2213-1272,2213-1280,,John Benjamins,,Yes,,,2024-01-24
Journal of Language and Politics,,jlp,1569-2159,1569-9862,,John Benjamins,,Yes,,,2024-01-24
Journal of Language and Sexuality,,jls,2211-3770,2211-3789,,John Benjamins,,Yes,,,2024-01-24
Journal of Pidgin and Creole Languages,,jpcl,0920-9034,1569-9870,,John Benjamins,,Yes,,,2024-01-24
Journal of Second Language Pronunciation,,jslp,2215-1931,2215-194X,,John Benjamins,,Yes,,,2024-01-24
Journal of Second Language Studies,,jsls,2542-3835,2542-3843,,John Benjamins,,Yes,,,2024-01-24
Journal of Uralic Linguistics,,jul,2772-3720,2772-3739,,John Benjamins,,Yes,,,2024-01-24
Korean Linguistics,,kl,0257-3784,2212-9731,,John Benjamins,,No,,Diamond open access journal,2024-01-24
Linguistic Approaches to Bilingualism,,lab,1879-9264,1879-9272,,John Benjamins,,Yes,,,2024-01-24
Language and Linguistics,,lali,1606-822X,2309-5067,,John Benjamins,,No,,Diamond open access journal,2024-01-24
"Language, Context and Text",,langct,2589-7233,2589-7241,,John Benjamins,,Yes,,,2024-01-24
"Language, Culture and Society",,lcs,2543-3164,2543-3156,,John Benjamins,,Yes,,,2024-01-24
Language and Dialogue,,ld,2210-4119,2210-4127,,John Benjamins,,Yes,,,2024-01-24
Lingvisticæ Investigationes,,li,0378-4169,1569-9927,,John Benjamins,,Yes,,,2024-01-24
"Language, Interaction and Acquisition",,lia,1879-7865,1879-7873,,John Benjamins,,Yes,,,2024-01-24
Languages in Contrast,,lic,1387-6759,1569-9897,,John Benjamins,,Yes,,,2024-01-24
Language Problems and Language Planning,,lplp,0272-2690,1569-9889,,John Benjamins,,Yes,,,2024-01-24
Linguistic Landscape,,ll,2214-9953,2214-9961,,John Benjamins,,Yes,,,2024-01-24
Linguistics of the Tibeto-Burman Area,,ltba,0731-3500,2214-5907,,John Benjamins,,Yes,,,2024-01-24
Language Teaching for Young Learners,,ltyl,2589-2053,2589-207X,,John Benjamins,,Yes,,,2024-01-24
Linguistic Variation,,lv,2211-6834,2211-6842,,John Benjamins,,Yes,,,2024-01-24
The Mental Lexicon,,ml,1871-1340,1871-1375,,John Benjamins,,Yes,,,2024-01-24
Metaphor and the Social World,,msw,2210-4070,2210-4097,,John Benjamins,,Yes,,,2024-01-24
Nota Bene,,nb,2950-189X,2950-1881,,John Benjamins,,Yes,,,2024-01-24
Narrative Inquiry,,ni,1387-6740,1569-9935,,John Benjamins,,Yes,,,2024-01-24
NOWELE,,nowele,0108-8416,2212-9715,,John Benjamins,,Yes,,,2024-01-24
Pragmatics & Cognition,,pc,0929-0907,1569-9943,,John Benjamins,,Yes,,,2024-01-24
Pedagogical Linguistics,,pl,2665-9581,2665-959X,,John Benjamins,,Yes,,,2024-01-24
Pragmatics,,prag,1018-2101,2406-4238,,John Benjamins,,Yes,,,2024-01-24
Pragmatics and Society,,ps,1878-9714,1878-9722,,John Benjamins,,Yes,,,2024-01-24
Review of Cognitive Linguistics,,rcl,1877-9751,1877-976X,,John Benjamins,,Yes,,,2024-01-24
Reinardus,,rein,0925-4757,1569-9951,,John Benjamins,,Yes,,,2024-01-24
Revista Española de Lingüística Aplicada/Spanish Journal of Applied Linguistics,,resla,0213-2028,2254-6774,,John Benjamins,,Yes,,,2024-01-24
Revue Romane,,rro,0035-3906,1600-0811,,John Benjamins,,Yes,,,2024-01-24
Register Studies,,rs,2542-9477,2542-9485,,John Benjamins,,Yes,,,2024-01-24
Study Abroad Research in Second Language Acquisition and International Education,,sar,2405-5522,2405-5530,,John Benjamins,,Yes,,,2024-01-24
Spanish in Context,,sic,1571-0718,1571-0726,,John Benjamins,,Yes,,,2024-01-24
Studies in Language,,sl,0378-4177,1569-9978,,John Benjamins,,Yes,,,2024-01-24
Sign Language & Linguistics,,sll,1387-9316,1569-996X,,John Benjamins,,Yes,,,2024-01-24
Target,,target,0924-1884,1569-9986,,John Benjamins,,Yes,,,2024-01-24
TASK,,task,2666-1748,2666-1756,,John Benjamins,,Yes,,,2024-01-24
"Translation, Cognition & Behavior",,tcb,2542-5277,2542-5285,,John Benjamins,,Yes,,,2024-01-24
Terminology,,term,0929-9971,1569-9994,,John Benjamins,,Yes,,,2024-01-24
Translation and Interpreting Studies,,tis,1932-2798,1876-2700,,John Benjamins,,Yes,,,2024-01-24
Translation in Society,,tris,2667-3037,2667-3045,,John Benjamins,,Yes,,,2024-01-24
Translation Spaces,,ts,2211-3711,2211-372X,,John Benjamins,,Yes,,,2024-01-24
Translation and Translanguaging in Multilingual Contexts,,ttmc,2352-1805,2352-1813,,John Benjamins,,Yes,,,2024-01-24
Written Language & Literacy,,wll,1387-6732,1570-6001,,John Benjamins,,Yes,,,2024-01-24
ACM Computing Surveys,Hybrid,csur,0360-0300,1557-7341,,Assocation for Computing Machinery (ACM),,Yes,,,2024-01-24
ACM Inroads,Hybrid,inroads,2153-2184,2153-2192,,Assocation for Computing Machinery (ACM),,Yes,,,2024-01-24
ACM Journal of Experimental Algorithmics,Hybrid,jea,1084-6654,1084-6654,,Assocation for Computing Machinery (ACM),,Yes,,,2024-01-24
ACM Journal on Computing and Sustainable Societies,Hybrid,acmjcss,,2834-5533,,Assocation for Computing Machinery (ACM),,Yes,,,2024-01-24
ACM Journal on Emerging Technologies in Computing Systems,Hybrid,jetc,1550-4832,1550-4840,,Assocation for Computing Machinery (ACM),,Yes,,,2024-01-24
ACM Transactions on Accessible Computing,Hybrid,taccess,1936-7228,1936-7236,,Assocation for Computing Machinery (ACM),,Yes,,,2024-01-24
ACM Transactions on Algorithms,Hybrid,talg,1549-6325,1549-6333,,Assocation for Computing Machinery (ACM),,Yes,,,2024-01-24
ACM Transactions on Applied Perception,Hybrid,tap,1544-3558,1544-3965,,Assocation for Computing Machinery (ACM),,Yes,,,2024-01-24
ACM Transactions on Architecture and Code Optimization,Gold OA,taco,1544-3566,1544-3973,,Assocation for Computing Machinery (ACM),,Yes,,,2024-01-24
ACM Transactions on Asian and Low-Resource Language Information Processing,Hybrid,tallip,2375-4699,2375-4702,,Assocation for Computing Machinery (ACM),,Yes,,,2024-01-24
ACM Transactions on Autonomous and Adaptive Systems,Hybrid,taas,1556-4665,1556-4703,,Assocation for Computing Machinery (ACM),,Yes,,,2024-01-24
ACM Transactions on Computation Theory,Hybrid,toct,1942-3454,1942-3462,,Assocation for Computing Machinery (ACM),,Yes,,,2024-01-24
ACM Transactions on Computational Logic,Hybrid,tocl,1529-3785,1557-945X,,Assocation for Computing Machinery (ACM),,Yes,,,2024-01-24
ACM Transactions on Computer Systems,Hybrid,tocs,0734-2071,1557-7333,,Assocation for Computing Machinery (ACM),,Yes,,,2024-01-24
ACM Transactions on Computer-Human Interaction,Hybrid,tochi,1073-0516,1557-7325,,Assocation for Computing Machinery (ACM),,Yes,,,2024-01-24
ACM Transactions on Computing Education,Hybrid,toce,,1946-6226,,Assocation for Computing Machinery (ACM),,Yes,,,2024-01-24
ACM Transactions on Computing for Healthcare,Hybrid,health,,2637-8051,,Assocation for Computing Machinery (ACM),,Yes,,,2024-01-24
ACM Transactions on Cyber-Physical Systems,Hybrid,tcps,2378-962X,2378-9638,,Assocation for Computing Machinery (ACM),,Yes,,,2024-01-24
ACM Transactions on Database Systems,Hybrid,tods,0362-5915,1557-4644,,Assocation for Computing Machinery (ACM),,Yes,,,2024-01-24
ACM Transactions on Design Automation of Electronic Systems,Hybrid,todaes,1084-4309,1557-7309,,Assocation for Computing Machinery (ACM),,Yes,,,2024-01-24
ACM Transactions on Economics and Computation,Hybrid,teac,2167-8375,2167-8383,,Assocation for Computing Machinery (ACM),,Yes,,,2024-01-24
ACM Transactions on Embedded Computing Systems,Hybrid,tecs,1539-9087,1558-3465,,Assocation for Computing Machinery (ACM),,Yes,,,2024-01-24
ACM Transactions on Evolutionary Learning and Optimization,Hybrid,telo,,2688-3007,,Assocation for Computing Machinery (ACM),,Yes,,,2024-01-24
ACM Transactions on Graphics,Hybrid,tog,0730-0301,1557-7368,,Assocation for Computing Machinery (ACM),,Yes,,,2024-01-24
ACM Transactions on Human-Robot Interaction,Gold OA,thri,,2573-9522,,Assocation for Computing Machinery (ACM),,Yes,,,2024-01-24
ACM Transactions on Information Systems,Hybrid,tois,1046-8188,1558-2868,,Assocation for Computing Machinery (ACM),,Yes,,,2024-01-24
ACM Transactions on Intelligent Systems and Technology,Hybrid,tist,2157-6904,2157-6912,,Assocation for Computing Machinery (ACM),,Yes,,,2024-01-24
ACM Transactions on Interactive Intelligent Systems,Hybrid,tiis,2160-6455,2160-6463,,Assocation for Computing Machinery (ACM),,Yes,,,2024-01-24
ACM Transactions on Internet of Things,Hybrid,tiot,,2577-6207,,Assocation for Computing Machinery (ACM),,Yes,,,2024-01-24
ACM Transactions on Internet Technology,Hybrid,toit,1533-5399,1557-6051,,Assocation for Computing Machinery (ACM),,Yes,,,2024-01-24
ACM Transactions on Knowledge Discovery from Data,Hybrid,tkdd,1556-4681,1556-472X,,Assocation for Computing Machinery (ACM),,Yes,,,2024-01-24
ACM Transactions on Management Information Systems,Hybrid,tmis,2158-656X,2158-6578,,Assocation for Computing Machinery (ACM),,Yes,,,2024-01-24
ACM Transactions on Mathematical Software,Hybrid,toms,0098-3500,1557-7295,,Assocation for Computing Machinery (ACM),,Yes,,,2024-01-24
ACM Transactions on Modeling and Computer Simulation,Hybrid,tomacs,1049-3301,1558-1195,,Assocation for Computing Machinery (ACM),,Yes,,,2024-01-24
ACM Transactions on Modeling and Performance Evaluation of Computing Systems,Hybrid,tompecs,2376-3639,2376-3647,,Assocation for Computing Machinery (ACM),,Yes,,,2024-01-24
"ACM Transactions on Multimedia Computing, Communications, and Applications",Hybrid,tomm,1551-6857,1551-6865,,Assocation for Computing Machinery (ACM),,Yes,,,2024-01-24
ACM Transactions on Parallel Computing,Hybrid,topc,2329-4949,2329-4957,,Assocation for Computing Machinery (ACM),,Yes,,,2024-01-24
ACM Transactions on Privacy and Security,Hybrid,tops,2471-2566,2471-2574,,Assocation for Computing Machinery (ACM),,Yes,,,2024-01-24
ACM Transactions on Probabilistic Machine Learning,Gold OA,topml,,2836-8924,,Assocation for Computing Machinery (ACM),,Yes,,,2024-01-24
ACM Transactions on Programming Languages and Systems,Gold OA,toplas,0164-0925,1558-4593,,Assocation for Computing Machinery (ACM),,Yes,,,2024-01-24
ACM Transactions on Quantum Computing,Hybrid,tqc,,2643-6817,,Assocation for Computing Machinery (ACM),,Yes,,,2024-01-24
ACM Transactions on Recommender Systems,Hybrid,tors,,2770-6699,,Assocation for Computing Machinery (ACM),,Yes,,,2024-01-24
ACM Transactions on Reconfigurable Technology and Systems,Hybrid,trets,1936-7406,1936-7414,,Assocation for Computing Machinery (ACM),,Yes,,,2024-01-24
ACM Transactions on Sensor Networks,Hybrid,tosn,1550-4859,1550-4867,,Assocation for Computing Machinery (ACM),,Yes,,,2024-01-24
ACM Transactions on Social Computing,Hybrid,tsc,,2469-7826,,Assocation for Computing Machinery (ACM),,Yes,,,2024-01-24
ACM Transactions on Software Engineering and Methodology,Hybrid,tosem,1049-331X,1557-7392,,Assocation for Computing Machinery (ACM),,Yes,,,2024-01-24
ACM Transactions on Spatial Algorithms and Systems,Hybrid,tsas,2374-0353,2374-0361,,Assocation for Computing Machinery (ACM),,Yes,,,2024-01-24
ACM Transactions on Storage,Hybrid,tos,1553-3077,1553-3093,,Assocation for Computing Machinery (ACM),,Yes,,,2024-01-24
ACM Transactions on the Web,Hybrid,tweb,1559-1131,1559-114X,,Assocation for Computing Machinery (ACM),,Yes,,,2024-01-24
ACM/IMS Journal of Data Science,Gold OA,,,2831-3194,,Assocation for Computing Machinery (ACM),,Yes,,,2024-01-24
Collective Intelligence,Gold OA,cola,,2633-9137,,Assocation for Computing Machinery (ACM),,Yes,,,2024-01-24
Communications of the ACM,Hybrid,cacm,0001-0782,1557-7317,,Assocation for Computing Machinery (ACM),,Yes,,,2024-01-24
Digital Government: Research and Practice,Gold OA,dgov,,2639-0175,,Assocation for Computing Machinery (ACM),,Yes,,,2024-01-24
Digital Threats: Research and Practice,Hybrid,dtrap,,2576-5337,,Assocation for Computing Machinery (ACM),,Yes,,,2024-01-24
Distributed Ledger Technologies: Research and Practice,Gold OA,dlt,2769-6472,2769-6480,,Assocation for Computing Machinery (ACM),,Yes,,,2024-01-24
eLearn,Hybrid,elearn,,1535-394X,,Assocation for Computing Machinery (ACM),,Yes,,,2024-01-24
Formal Aspects of Computing,Gold OA,fac,0934-5043,1433-299X,,Assocation for Computing Machinery (ACM),,Yes,,,2024-01-24
Games: Research and Practice,Hybrid,games,,2832-5516,,Assocation for Computing Machinery (ACM),,Yes,,,2024-01-24
Interactions,Hybrid,interactions,1072-5520,1558-3449,,Assocation for Computing Machinery (ACM),,Yes,,,2024-01-24
Journal of Data and Information Quality,Hybrid,jdiq,1936-1955,1936-1963,,Assocation for Computing Machinery (ACM),,Yes,,,2024-01-24
Journal of the ACM,Hybrid,jacm,0004-5411,1557-735X,,Assocation for Computing Machinery (ACM),,Yes,,,2024-01-24
Journal on Computing and Cultural Heritage,Hybrid,jocch,1556-4673,1556-4711,,Assocation for Computing Machinery (ACM),,Yes,,,2024-01-24
Proceedings of the ACM on Computer Graphics and Interactive Techniques,Hybrid,pacmcgit,,2577-6193,,Assocation for Computing Machinery (ACM),,Yes,,,2024-01-24
Proceedings of the ACM on Human-Computer Interaction,Hybrid,pacmhci,,2573-0142,,Assocation for Computing Machinery (ACM),,Yes,,,2024-01-24
"Proceedings of the ACM on Interactive, Mobile, Wearable and Ubiquitous Technologies",Hybrid,imwut,,2474-9567,,Assocation for Computing Machinery (ACM),,Yes,,,2024-01-24
Proceedings of the ACM on Management of Data,Hybrid,pacmmod,,2836-6573,,Assocation for Computing Machinery (ACM),,Yes,,,2024-01-24
Proceedings of the ACM on Measurement and Analysis of Computing Systems,Hybrid,pomacs,,2476-1249,,Assocation for Computing Machinery (ACM),,Yes,,,2024-01-24
Proceedings of the ACM on Networking,Hybrid,pacmnet,,2834-5509,,Assocation for Computing Machinery (ACM),,Yes,,,2024-01-24
Proceedings of the ACM on Programming Languages,Gold OA,pacmpl,,2475-1421,,Assocation for Computing Machinery (ACM),,Yes,,,2024-01-24
Proceedings of the ACM on Software Engineering,Hybrid,pacmse,,2994-970X,,Assocation for Computing Machinery (ACM),,Yes,,,2024-01-24
Queue,Hybrid,queue,1542-7730,1542-7749,,Assocation for Computing Machinery (ACM),,Yes,,,2024-01-24
Ubiquity,Hybrid,ubiquity,,1530-2180,,Assocation for Computing Machinery (ACM),,Yes,,,2024-01-24
"XRDS: Crossroads, The ACM Magazine for Students",Hybrid,xrds,1528-4972,1528-4980,,Assocation for Computing Machinery (ACM),,Yes,,,2024-01-24
The African Book Publishing Record,,ABPR,,1865-8717,,De Gruyter,,Yes,,"Only La Trobe University, University of Sydney, Victoria University of Wellington",2024-01-24
Advances in Calculus of Variations,,ACV,,1864-8266,,De Gruyter,,Yes,,"Only La Trobe University, University of Sydney, Victoria University of Wellington",2024-01-24
Advances in Geometry ,,ADV GEOM,,1615-7168,,De Gruyter,,Yes,,"Only La Trobe University, University of Sydney, Victoria University of Wellington",2024-01-24
"Accounting, Economics, and Law: A Convivium",,AEL,,2152-2820,,De Gruyter,,Yes,,"Only La Trobe University, University of Sydney, Victoria University of Wellington",2024-01-24
Archiv für Geschichte der Philosophie,,AGPH,,1613-0650,,De Gruyter,,Yes,,"Only La Trobe University, Monash University, University of Queensland, University of Sydney, Victoria University of Wellington",2024-01-24
Asian Journal of Law and Economics,,AJLE,,2154-4611,,De Gruyter,,Yes,,"Only La Trobe University, University of Sydney, Victoria University of Wellington",2024-01-24
Antike und Abendland,,ANAB,,1613-0421,,De Gruyter,,Yes,,"Only University of Sydney, Victoria University of Wellington",2024-01-24
